No,Intencao,Pergunta,Resposta
1,Como depositar,Boa dia.tudo bem?eu gostaria de saber sobre aquele caixa do family mart verde eh 24 horas?e se eu posso transferir a qualquer hora?obrigado,"Bom dia! Sim, o sr pode utilizar o cartão de depósitos nesta máquinas 24 horas exclusivas do JP Bank."
2,Como fazer remessa,Como enviar dinheiro do Japão?,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários.
Com o app Brastel Remit você tera independência para fazer a remessa por conta propria e a qualquer horario https://brastelremit.jp/por/24h"
3,Tempo de remessa,Quanto tempo levará para o beneficiário receber o dinheiro?,"Via de regra, as remessas serão pagas via PIX dentro de algumas horas, se todos os dados estiverem corretos."
4,"Pedido de envio via metodo ""ByPhone""","Boa tarde
Acabei de fazer a transferência de 22+23, Total de 45Yenes
","iremos processar a sua solicitacao.
Muito obrigada e otima tarde."
5,"Pedido de envio via metodo ""ByPhone""","Poderia fazer a remessa de 22yenes para o BBB RRR   obrigado
E de 23yenes para o AAAA MMMM VVVVV caixa econômica federal
Obrigado","iremos processar a sua solicitacao.
Muito obrigada e otima tarde."
6,"Pedido de envio via metodo ""ByPhone""","Boa tarde
Acabei de fazer uma transferência para conta de vocês no valor de 50.700 a ser descontado a taxa de vocês
",Bom dia! Processaremos conforme solicitado. Obrigado!
7,"Pedido de envio via metodo ""ByPhone""","Boa tarde
A beneficiária é YYY FFF YYY",Bom dia! Processaremos conforme solicitado. Obrigado!
8,Como se inscrever,Como posso me inscrever no serviço de remessa?,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários.
Com o app Brastel Remit você tera independência para fazer a remessa por conta propria e a qualquer horario https://brastelremit.jp/por/24h"
9,Confirmacao de cambio/taxas,"Boa noite
gostaria de tirar uma dúvida???pq a cotação do dólar está 5,02 e no app está 4,96???","Bom dia,

Com base na cotação do mercado, cada empresa de remessa ou banco oferece sua taxa de conversão.
Qualquer dúvida estamos à disposição.
Obrigado."
10,"Pedido de envio via metodo ""ByPhone""","Bom dia! Hoje eu fiz um depósito! Acho que esqueci de digitar o código. Por favor Verifique pra mim. Fico no aguardo da confirmação! Obrigado







","Bom dia
Obrigado pelo envio do comprovante, vamos colocar o saldo no seu aplicativo."
